iter	Logloss
0	0.6849316617
1	0.6773284248
2	0.670169031
3	0.6635360146
4	0.657270169
5	0.6539178646
6	0.6481441158
7	0.6425868667
8	0.6380784454
9	0.63342578
10	0.6296612713
11	0.6258445416
12	0.6211618425
13	0.6169569257
14	0.6127106885
15	0.6096749833
16	0.6068269322
17	0.6042673078
18	0.600970471
19	0.598397613
20	0.5960280025
21	0.5928074225
22	0.5906388194
23	0.5887209179
24	0.584822561
25	0.5828796909
26	0.5812589177
27	0.5789123859
28	0.5753760209
29	0.5727872414
30	0.570960292
31	0.5704763208
32	0.568745571
33	0.5674888803
34	0.5661103088
35	0.5640335668
36	0.5618299044
37	0.5597547683
38	0.5582447659
39	0.5562097452
40	0.554623971
41	0.554234502
42	0.5529584028
43	0.5510977721
44	0.5500769115
45	0.5491470244
46	0.5481388393
47	0.5466923732
48	0.5459294154
49	0.5440688854
50	0.543223419
51	0.541933214
52	0.5412024942
53	0.5401346641
54	0.5394401288
55	0.5384027533
56	0.537934888
57	0.5365207243
58	0.5355487376
59	0.534597644
60	0.5343525158
61	0.5335927454
62	0.5327698194
63	0.5317070296
64	0.5307324466
65	0.529916597
66	0.5284497363
67	0.5274794161
68	0.5273511597
69	0.5264796725
70	0.5262039591
71	0.5257012304
72	0.5248786547
73	0.5240749165
74	0.5233024424
75	0.522553916
76	0.5219938613
77	0.5214106001
78	0.5208671932
79	0.519889072
80	0.5193578034
81	0.5190020224
82	0.5183625078
83	0.5178320507
84	0.5174554667
85	0.5169186408
86	0.516396573
87	0.5161212975
88	0.5155937666
89	0.5150578078
90	0.5145842373
91	0.5143140129
92	0.5132548763
93	0.512900683
94	0.5124801421
95	0.5120380264
96	0.5112799627
97	0.5109198155
98	0.510745368
99	0.5103524621
100	0.5100230803
101	0.5099217956
102	0.5093739812
103	0.509105807
104	0.5087846286
105	0.5086820287
106	0.5084041143
107	0.5081676353
108	0.5076400359
109	0.5072994355
110	0.5066091043
111	0.5064049369
112	0.5061139091
113	0.5058585401
114	0.5055259883
115	0.5051262702
116	0.5048285403
117	0.5046492142
118	0.5045048032
119	0.5044241786
120	0.5040559264
121	0.5036215682
122	0.5033900979
123	0.50308616
124	0.5029462973
125	0.5028518799
126	0.5024342046
127	0.5019541048
128	0.5018467116
129	0.5016145339
130	0.5013309778
131	0.5011551444
132	0.5008125467
133	0.5004472057
134	0.5001965279
135	0.4999887041
136	0.4996875435
137	0.4993867305
138	0.4991073582
139	0.4988232996
140	0.4987724687
141	0.4984171883
142	0.498246894
143	0.4981175462
144	0.4974768613
145	0.4973315407
146	0.496896854
147	0.4965819026
148	0.4962940358
149	0.4961954127
150	0.4956123407
151	0.4955469109
152	0.495367426
153	0.495157425
154	0.4950239659
155	0.4948228283
156	0.4947575352
157	0.4943255708
158	0.4941377859
159	0.4938085191
160	0.49349137
161	0.4933007418
162	0.4930031415
163	0.4929022163
164	0.4926086021
165	0.4923028232
166	0.4920433065
167	0.4919358756
168	0.4918041569
169	0.4914483047
170	0.4911647523
171	0.4910000522
172	0.4909158721
173	0.490669863
174	0.4905624444
175	0.4904435218
176	0.4902674969
177	0.4900128597
178	0.4898982393
179	0.4895394954
180	0.4893306135
181	0.489235715
182	0.4887438519
183	0.4886382909
184	0.4882853117
185	0.4880137762
186	0.4876355871
187	0.4875851874
188	0.4874794328
189	0.4874106671
190	0.4872733501
191	0.4870840098
