iter	Passed	Remaining
0	5	7555
1	10	7912
2	16	8082
3	21	8068
4	27	8163
5	32	8036
6	40	8625
7	46	8732
8	56	9315
9	61	9203
10	69	9372
11	75	9408
12	82	9439
13	87	9310
14	95	9418
15	99	9261
16	107	9389
17	114	9437
18	120	9377
19	126	9377
20	134	9448
21	139	9396
22	144	9283
23	150	9230
24	155	9174
25	163	9267
26	175	9578
27	182	9617
28	189	9598
29	196	9635
30	203	9645
31	210	9668
32	215	9600
33	220	9522
34	227	9510
35	232	9459
36	240	9508
37	246	9487
38	252	9457
39	258	9447
40	265	9430
41	273	9483
42	280	9511
43	288	9539
44	295	9551
45	302	9568
46	319	9886
47	326	9880
48	333	9882
49	340	9888
50	347	9872
51	353	9839
52	359	9804
53	364	9755
54	370	9729
55	375	9691
56	394	9998
57	402	9994
58	409	9997
59	415	9975
60	420	9929
61	427	9903
62	434	9903
63	442	9923
64	448	9901
65	455	9888
66	461	9874
67	469	9883
68	475	9864
69	482	9865
70	488	9832
71	499	9902
72	503	9851
73	510	9844
74	520	9888
75	525	9840
76	530	9807
77	535	9759
78	540	9719
79	547	9716
80	554	9713
81	562	9724
82	569	9719
83	577	9734
84	588	9802
85	597	9818
86	602	9778
87	609	9772
88	616	9778
89	624	9791
90	636	9857
91	644	9867
92	652	9867
93	660	9875
94	669	9899
95	675	9883
96	683	9887
97	691	9888
98	698	9890
99	707	9903
100	713	9889
101	718	9845
102	726	9847
103	731	9823
104	739	9818
105	745	9801
106	752	9790
107	761	9811
108	769	9813
109	777	9820
110	784	9818
111	790	9798
112	796	9773
113	803	9770
114	811	9775
115	818	9769
116	824	9741
117	834	9773
118	843	9785
119	850	9778
120	858	9781
121	865	9770
122	870	9746
123	879	9756
124	887	9757
125	893	9746
126	900	9731
127	906	9721
128	912	9698
129	919	9690
130	926	9677
131	933	9670
132	938	9644
133	944	9633
134	950	9605
135	960	9628
136	968	9633
137	974	9622
138	982	9619
139	987	9591
140	992	9562
141	999	9555
142	1005	9541
143	1013	9540
144	1020	9537
145	1025	9511
146	1034	9526
147	1043	9534
148	1051	9530
149	1059	9534
150	1064	9513
151	1073	9519
152	1080	9513
153	1087	9502
154	1094	9500
155	1101	9486
156	1107	9470
157	1112	9446
158	1119	9444
159	1126	9434
160	1133	9425
161	1139	9413
162	1145	9395
163	1152	9385
164	1160	9390
165	1170	9407
166	1178	9406
167	1184	9391
168	1191	9386
169	1199	9386
170	1207	9386
171	1214	9373
172	1221	9369
173	1230	9380
174	1237	9372
175	1245	9367
176	1250	9345
177	1255	9326
178	1260	9305
179	1267	9298
180	1274	9288
181	1280	9275
182	1286	9256
183	1291	9239
184	1299	9236
185	1305	9224
186	1312	9214
187	1320	9213
188	1323	9182
189	1328	9161
190	1333	9141
191	1338	9116
192	1346	9121
193	1354	9115
194	1360	9102
195	1368	9102
196	1376	9105
197	1381	9084
198	1389	9084
199	1396	9080
200	1405	9081
201	1412	9077
202	1420	9076
203	1428	9074
204	1436	9072
205	1444	9074
206	1451	9067
207	1458	9058
208	1465	9054
209	1473	9049
210	1478	9029
211	1485	9024
212	1491	9014
213	1498	9002
214	1506	9002
215	1512	8993
216	1519	8981
217	1527	8980
218	1534	8974
219	1542	8974
220	1551	8976
221	1560	8984
222	1567	8977
223	1573	8963
224	1586	8992
225	1594	8989
226	1602	8986
227	1608	8975
228	1614	8961
229	1621	8954
230	1627	8940
231	1634	8933
232	1641	8924
233	1647	8913
234	1651	8889
235	1659	8888
236	1669	8894
237	1674	8879
238	1682	8875
239	1688	8862
240	1695	8857
241	1702	8849
242	1709	8843
243	1716	8835
244	1724	8831
245	1731	8823
246	1740	8828
247	1748	8827
248	1756	8822
249	1766	8832
250	1779	8854
251	1785	8840
252	1791	8832
253	1799	8825
254	1806	8820
255	1812	8809
256	1817	8790
257	1823	8780
258	1831	8775
259	1835	8756
260	1841	8739
261	1846	8725
262	1855	8725
263	1861	8712
264	1868	8706
265	1877	8708
266	1883	8699
267	1889	8686
268	1897	8684
269	1902	8666
270	1909	8657
271	1914	8642
272	1921	8635
273	1926	8621
274	1933	8614
275	1941	8610
276	1947	8600
277	1953	8586
278	1960	8579
279	1966	8567
280	1977	8578
281	1987	8586
282	1992	8568
283	2000	8567
284	2012	8580
285	2020	8577
286	2029	8576
287	2035	8565
288	2043	8562
