iter	Logloss
0	0.6850820814
1	0.6774213073
2	0.6702025478
3	0.6636571297
4	0.6575789126
5	0.6501498157
6	0.6462100535
7	0.6411560786
8	0.6368716982
9	0.6338221026
10	0.6298312326
11	0.625033468
12	0.6209853415
13	0.6171905237
14	0.612952405
15	0.6093738179
16	0.6053819611
17	0.6026452712
18	0.5986905895
19	0.5961133095
20	0.5943014629
21	0.5916392038
22	0.5895110745
23	0.5862692043
24	0.5845195892
25	0.5824285684
26	0.5798030135
27	0.5780697531
28	0.57649946
29	0.573613218
30	0.5723780485
31	0.5708080098
32	0.5697023094
33	0.5676653637
34	0.5662378157
35	0.5644850161
36	0.5624906627
37	0.5614122653
38	0.560311145
39	0.5591264959
40	0.5571964839
41	0.5554784473
42	0.5535928602
43	0.5531532703
44	0.5520965648
45	0.5506199985
46	0.5502392382
47	0.5484013874
48	0.5473442873
49	0.5463220404
50	0.5451530567
51	0.5441797767
52	0.542322669
53	0.5414558491
54	0.5404857592
55	0.5396144975
56	0.5384503432
57	0.5374752147
58	0.5358771926
59	0.5348158146
60	0.5339688372
61	0.5330019238
62	0.5324240692
63	0.5317967342
64	0.5308447561
65	0.5300538387
66	0.5290806887
67	0.5286948149
68	0.5277385168
69	0.5270890053
70	0.5267183008
71	0.5264521357
72	0.5261658362
73	0.5254300313
74	0.5246757859
75	0.5241049101
76	0.5230909181
77	0.5225032477
78	0.5220166495
79	0.5214131107
80	0.5205012258
81	0.5200963496
82	0.5193038115
83	0.518298257
84	0.5179872043
85	0.51759404
86	0.5172643026
87	0.5167722096
88	0.515692268
89	0.5151279695
90	0.5144351387
91	0.5143297407
92	0.5141893914
93	0.5138765577
94	0.5132613972
95	0.5128487286
96	0.512601515
97	0.5118971712
98	0.511360962
99	0.5110268596
100	0.510603749
101	0.5102226177
102	0.5098089206
103	0.5093574473
104	0.5087991727
105	0.5084201682
106	0.5077793464
107	0.5070033812
108	0.506837712
109	0.5066187565
110	0.5062525858
111	0.5060975179
112	0.5056169097
113	0.5054773717
114	0.5051167392
115	0.50484388
116	0.5044156269
117	0.5041388371
118	0.5040165417
119	0.503658818
120	0.5031671494
121	0.5030561956
122	0.5028178335
123	0.5025283209
124	0.5018234012
125	0.5016714409
126	0.5013677491
127	0.5012029085
128	0.5006861919
129	0.5004112093
130	0.5001627635
131	0.4995034187
132	0.4992048442
133	0.4989206675
134	0.4987255351
135	0.4983258558
136	0.4980310754
137	0.4978541033
138	0.4974572908
139	0.4972098399
140	0.4971223414
141	0.4969343495
142	0.4966678931
143	0.496260814
144	0.4960093962
145	0.4958282282
146	0.4954813653
147	0.4952698319
148	0.4948930871
149	0.4945929904
150	0.4944277029
151	0.4942525945
152	0.4939004796
153	0.4938172783
154	0.493582493
155	0.4932932874
156	0.4930842834
157	0.4929871551
158	0.4928947289
159	0.492553503
160	0.4922094221
161	0.4921402274
162	0.4919460065
163	0.4917464903
164	0.4916356139
165	0.4912494204
166	0.491205422
167	0.4908942132
168	0.4906746859
169	0.4904446202
170	0.4903222415
171	0.4900815541
172	0.4900190954
173	0.489741924
174	0.4894676976
175	0.4892305877
176	0.4887679636
177	0.488585551
178	0.4884325035
179	0.4882416786
180	0.4881487874
181	0.4879888359
182	0.4878305721
183	0.4875728778
184	0.4874323121
185	0.4871359966
186	0.4868583327
187	0.486551319
188	0.4862969825
189	0.4861524386
190	0.485973167
191	0.4856344989
192	0.485415324
193	0.4852644969
194	0.4851026154
195	0.4850401245
196	0.484792548
197	0.4845720189
198	0.4844660783
199	0.4844071834
200	0.4843949303
201	0.4841767318
202	0.4840294759
203	0.483748316
204	0.4834909962
205	0.4833036775
206	0.4830565118
207	0.4828744115
208	0.482815396
209	0.4827734554
210	0.4826620208
211	0.482540127
212	0.4823549923
213	0.4822300968
214	0.482080037
215	0.4818697297
216	0.4818385688
217	0.4816793708
218	0.4816054759
219	0.4814797291
220	0.4813439247
221	0.4811186892
222	0.4809054796
223	0.4807235195
224	0.4806128188
225	0.4804367062
226	0.4802649243
227	0.480077512
228	0.479870643
229	0.4797259123
230	0.4795624999
231	0.4795025258
232	0.4794195984
233	0.4792782758
234	0.4792022646
235	0.4791285417
236	0.4789298078
237	0.4787646302
238	0.4787215484
239	0.478630402
240	0.4785174241
241	0.4784050993
242	0.4783273622
243	0.4781003812
244	0.4780168684
245	0.4778879126
246	0.4778146494
247	0.4777225096
248	0.4774840737
249	0.4772130819
250	0.4770610515
251	0.4769385602
252	0.4768285699
253	0.4767401563
254	0.4766060562
255	0.4764980639
256	0.4764199
257	0.4763881358
258	0.4763289569
259	0.4761488992
260	0.4756743426
261	0.4755213861
262	0.4754444782
263	0.4753153896
264	0.4752793042
265	0.4751440221
266	0.4750128235
267	0.474783951
268	0.4746679872
269	0.4745640026
270	0.4743995446
271	0.4743128393
272	0.4741732302
273	0.474055599
274	0.4739335386
275	0.4738477075
276	0.4737417535
277	0.4737032464
278	0.4735591367
279	0.4734472874
280	0.4733232506
281	0.4731813638
282	0.472969335
283	0.4728591705
284	0.4727151695
285	0.4725183956
286	0.4724468934
287	0.4723380771
288	0.4721799545
289	0.4720135568
290	0.4718889223
291	0.4717864019
292	0.4717102921
293	0.4716228392
294	0.4715566834
295	0.4714697674
296	0.4714255822
297	0.4713434728
298	0.4712495398
299	0.4712061315
300	0.4711219825
301	0.4709568576
302	0.4709058617
303	0.4707306958
304	0.470595298
305	0.4705232635
306	0.4704632391
307	0.4703376485
308	0.4702559827
309	0.4701423102
310	0.4700506088
311	0.4699385312
312	0.4698951746
313	0.4698148421
314	0.4697326292
315	0.4696849055
316	0.4695983486
317	0.469528363
318	0.4694361799
319	0.4693160774
320	0.4692723653
321	0.4691556725
322	0.4690586437
323	0.4690052693
324	0.4689001039
325	0.468821599
326	0.4687650947
327	0.4687167547
328	0.4686755158
329	0.4685561365
330	0.4684614139
331	0.4684098872
332	0.4683135349
333	0.4682751289
334	0.4681676837
335	0.4680583949
336	0.468005349
337	0.4678809742
338	0.467841205
339	0.4677723238
340	0.4676798892
341	0.4675309218
342	0.4674610254
343	0.467288028
344	0.4672337353
345	0.4671929688
346	0.4670995548
347	0.4669791881
348	0.4669290761
349	0.4668187815
350	0.4667136511
351	0.4666167693
352	0.4665175681
353	0.4664465651
354	0.4663821474
355	0.4662435527
356	0.4661731849
357	0.4660462108
358	0.4659371115
359	0.4657391304
360	0.4656762248
361	0.4655631257
362	0.4654800708
363	0.4654409452
364	0.4653450188
365	0.4651973446
366	0.4651127975
367	0.4650229694
368	0.4648863058
369	0.4648107956
370	0.4646527153
371	0.4645628265
372	0.4644067568
373	0.4643125938
374	0.4642236425
375	0.4640755134
376	0.4638489596
377	0.4637493677
378	0.4636284429
379	0.4635559657
380	0.463437744
381	0.463348757
382	0.4632198908
383	0.463143045
384	0.4630412303
385	0.4629774055
386	0.4628915267
387	0.4628094913
388	0.4627038481
389	0.4625794555
390	0.4624968413
391	0.4623741445
392	0.4622652835
393	0.4621472381
394	0.4620621951
395	0.4619207931
396	0.4617987014
397	0.4616212759
398	0.4615111684
399	0.461436652
400	0.461354963
401	0.4612382178
402	0.4611569008
403	0.4609535347
404	0.4608272407
405	0.4607243565
406	0.4606077142
407	0.4604758118
408	0.4603676886
409	0.4602707242
410	0.4601384357
411	0.4599912311
412	0.4598848619
413	0.4597815573
414	0.4596832494
415	0.4594748979
416	0.4593341004
417	0.4592197637
418	0.4591227853
419	0.4589858356
420	0.4588742907
421	0.458766167
422	0.4586725898
423	0.4585828405
424	0.4585015921
425	0.4584122975
426	0.4582830039
427	0.4582066539
428	0.4580725444
429	0.4579670985
430	0.4578853705
431	0.4577776685
432	0.4576671047
433	0.4575679612
434	0.4574412285
435	0.4573270201
436	0.4572104259
437	0.4571211289
438	0.4570124868
439	0.4569249464
440	0.4568192377
441	0.4567294416
442	0.4565824734
443	0.456480566
444	0.4563120602
445	0.4562188264
446	0.4560603929
447	0.4559655153
448	0.4558615061
449	0.4557334784
450	0.4556102508
451	0.4555343001
452	0.4554035046
453	0.4553170373
454	0.4552128401
455	0.4551385852
456	0.4550456346
457	0.4549233359
458	0.4548408138
459	0.454758485
460	0.4546636507
461	0.4545710718
462	0.4544749065
463	0.4543732969
464	0.4542720993
465	0.4541808139
466	0.4540925102
467	0.4540121534
468	0.4539363842
469	0.4537858431
470	0.4536639289
471	0.4535562918
472	0.4534404552
473	0.4533259008
474	0.4532209612
475	0.4531487018
476	0.4530778239
477	0.4529548711
478	0.4528364821
479	0.4527343104
480	0.4526444995
481	0.4525708993
482	0.4524590277
483	0.4523155724
484	0.4522400599
485	0.4521336174
486	0.4520504972
487	0.4519196204
488	0.4518334738
489	0.4517138453
490	0.4516437402
491	0.4515328067
492	0.451426147
493	0.4513174649
494	0.4512188337
495	0.4511118605
496	0.4510292889
497	0.4509584214
498	0.4508914763
499	0.4507422216
500	0.4506711674
501	0.4505765349
502	0.4504783216
503	0.4503879624
504	0.4502674483
505	0.4501718191
506	0.4500699508
507	0.4499678848
508	0.4498929048
509	0.4497732949
510	0.4496887936
511	0.449608107
512	0.4495110377
513	0.4494576878
514	0.4493479961
515	0.4492789601
516	0.449181494
517	0.4490984766
518	0.4490095264
519	0.4489197598
520	0.4488492952
521	0.4487561471
522	0.4486951236
523	0.448596409
524	0.4485153393
525	0.4484364681
526	0.4483558651
527	0.4482717329
528	0.448195347
529	0.448110817
530	0.4480150894
531	0.4479461378
532	0.4478714548
533	0.4477769601
534	0.447687109
535	0.4475930439
536	0.4475219097
537	0.4474287771
538	0.4473368666
539	0.4472566748
540	0.4471723024
541	0.4470534936
542	0.4468872396
543	0.446783349
544	0.4466550903
545	0.446583272
546	0.4464626025
547	0.4463848308
548	0.446238285
549	0.4461453041
550	0.4460816362
551	0.4460059568
552	0.4459148231
553	0.4458470371
554	0.4457691014
555	0.4457090673
556	0.4456185652
557	0.4455433447
558	0.4454763414
559	0.4454207511
560	0.4453376215
561	0.445272555
562	0.4451841758
563	0.4451062893
564	0.4450380115
565	0.4449287678
566	0.444847427
567	0.4447727162
568	0.444708654
569	0.4446070341
570	0.4445503192
571	0.4444858165
572	0.4444238397
573	0.4443692712
574	0.4442917068
575	0.4442134903
576	0.4440730226
577	0.4440070648
578	0.4439314169
579	0.4438619742
580	0.4437906129
581	0.4437455534
582	0.4436405342
583	0.4435665248
584	0.4435078384
585	0.4434348574
586	0.4433296536
587	0.4432606317
588	0.4431823535
589	0.4431107065
590	0.4430538463
591	0.443000843
592	0.4429250452
593	0.4428694705
594	0.4427874609
595	0.4427161134
596	0.4426049597
597	0.442545236
598	0.442465708
599	0.4424008343
600	0.4423236109
601	0.4422571337
602	0.4421965755
603	0.4421223148
604	0.4420406042
605	0.4419406103
606	0.4418255592
607	0.4417566424
608	0.4416681852
609	0.4416203072
610	0.4415514846
611	0.4414830721
612	0.441406123
613	0.4413253623
