iter	Passed	Remaining
0	4	6625
1	9	6891
2	15	7580
3	20	7601
4	24	7436
5	30	7653
6	38	8123
7	45	8411
8	50	8305
9	56	8401
10	62	8518
11	69	8655
12	75	8689
13	81	8627
14	87	8613
15	93	8653
16	99	8669
17	105	8674
18	110	8615
19	115	8579
20	123	8706
21	129	8689
22	135	8680
23	140	8651
24	146	8663
25	152	8634
26	161	8789
27	166	8735
28	174	8853
29	182	8932
30	188	8952
31	197	9043
32	203	9047
33	214	9242
34	222	9321
35	229	9318
36	236	9361
37	243	9358
38	249	9358
39	256	9364
40	261	9319
41	270	9393
42	276	9377
43	281	9323
44	289	9368
45	297	9406
46	303	9396
47	311	9412
48	319	9472
49	325	9436
50	330	9398
51	336	9365
52	342	9356
53	349	9358
54	356	9366
55	361	9312
56	368	9317
57	374	9315
58	381	9311
59	387	9307
60	397	9370
61	404	9376
62	411	9390
63	419	9414
64	425	9385
65	431	9381
66	437	9364
67	443	9346
68	454	9416
69	463	9466
70	469	9453
71	475	9435
72	480	9395
73	487	9394
74	493	9369
75	498	9341
76	505	9343
77	511	9325
78	517	9305
79	523	9290
80	528	9250
81	532	9206
82	537	9179
83	543	9155
84	547	9108
85	552	9086
86	557	9048
87	562	9024
88	568	9005
89	572	8973
90	577	8946
91	584	8944
92	589	8925
93	596	8915
94	601	8902
95	608	8893
96	615	8905
97	622	8909
98	630	8916
99	634	8884
100	640	8869
101	644	8837
102	649	8813
103	654	8787
104	660	8772
105	664	8744
106	669	8718
107	674	8687
108	679	8668
109	687	8684
110	692	8671
111	698	8658
112	703	8634
113	707	8607
114	712	8581
115	718	8577
116	723	8556
117	728	8528
118	733	8509
119	738	8496
120	743	8474
121	749	8463
122	754	8448
123	761	8453
124	767	8438
125	772	8423
126	776	8400
127	782	8384
128	787	8366
129	792	8347
130	796	8322
131	800	8299
132	806	8291
133	813	8293
134	824	8340
135	831	8338
136	840	8363
137	868	8570
138	895	8767
139	913	8874
140	924	8909
141	943	9023
142	955	9063
143	962	9059
144	968	9053
145	974	9033
146	980	9022
147	988	9027
148	997	9047
149	1004	9040
150	1020	9117
151	1031	9145
152	1040	9157
153	1047	9154
154	1065	9248
155	1087	9369
156	1095	9374
157	1109	9425
158	1118	9429
159	1123	9408
160	1128	9382
161	1136	9382
162	1141	9362
163	1151	9378
164	1158	9372
165	1164	9357
166	1171	9350
167	1177	9338
168	1184	9328
169	1190	9313
170	1197	9303
171	1203	9288
172	1208	9271
173	1219	9292
174	1230	9315
175	1235	9297
176	1241	9279
177	1248	9273
178	1254	9254
179	1260	9247
180	1268	9240
181	1272	9217
182	1279	9210
183	1286	9199
184	1292	9187
185	1299	9178
186	1304	9156
187	1310	9149
188	1317	9141
189	1324	9135
190	1331	9123
191	1337	9114
192	1348	9133
193	1353	9112
194	1362	9119
195	1370	9120
196	1378	9119
197	1387	9126
198	1395	9121
199	1399	9097
200	1404	9076
201	1411	9068
202	1417	9057
203	1426	9063
204	1435	9068
205	1444	9071
206	1449	9056
207	1456	9047
208	1463	9042
209	1471	9040
210	1478	9029
211	1484	9018
212	1491	9012
213	1496	8993
214	1502	8981
215	1510	8976
216	1514	8952
217	1520	8942
218	1527	8933
219	1532	8915
220	1540	8917
221	1546	8904
222	1555	8908
223	1561	8897
224	1568	8889
225	1574	8873
226	1579	8858
227	1587	8855
228	1592	8838
229	1598	8826
230	1607	8831
231	1615	8828
232	1626	8843
233	1632	8833
234	1639	8824
235	1645	8814
236	1651	8801
237	1660	8806
238	1668	8805
239	1676	8801
240	1684	8800
241	1691	8790
242	1696	8773
243	1703	8767
244	1709	8755
245	1719	8766
246	1739	8824
247	1756	8865
248	1771	8900
249	1778	8891
250	1791	8915
251	1807	8953
252	1828	9010
253	1872	9183
254	1904	9299
255	1933	9393
256	1950	9435
257	1964	9454
258	1980	9490
259	2003	9555
260	2023	9606
261	2038	9631
262	2051	9649
263	2058	9638
264	2067	9633
265	2077	9639
266	2085	9629
267	2093	9624
268	2100	9612
269	2110	9615
270	2120	9616
271	2130	9618
272	2141	9623
273	2147	9608
274	2155	9603
275	2164	9597
276	2171	9585
277	2178	9575
278	2184	9559
279	2200	9587
280	2211	9592
281	2216	9572
282	2224	9568
283	2230	9550
284	2236	9533
285	2245	9533
286	2252	9519
287	2259	9509
288	2264	9490
289	2271	9477
290	2276	9458
291	2283	9445
292	2288	9427
293	2293	9406
294	2299	9392
295	2306	9380
296	2312	9366
297	2320	9359
298	2325	9342
299	2332	9331
300	2341	9325
301	2347	9313
302	2355	9305
303	2363	9297
304	2375	9306
305	2385	9306
306	2390	9289
307	2399	9288
308	2408	9282
309	2416	9276
310	2422	9261
311	2429	9252
312	2437	9245
313	2443	9228
314	2450	9219
315	2456	9205
316	2464	9196
317	2470	9182
318	2475	9164
319	2483	9158
320	2489	9142
321	2495	9130
322	2503	9122
323	2509	9109
324	2517	9102
325	2523	9088
326	2530	9077
327	2542	9084
328	2549	9073
329	2555	9058
330	2562	9050
331	2575	9062
332	2583	9054
333	2589	9039
334	2600	9045
335	2609	9038
336	2616	9031
337	2623	9020
338	2630	9007
339	2637	8997
340	2644	8987
341	2648	8969
342	2653	8951
343	2658	8932
344	2664	8921
345	2670	8905
346	2675	8890
347	2682	8880
348	2689	8868
349	2696	8858
350	2701	8842
351	2707	8830
352	2715	8822
353	2721	8811
354	2728	8801
355	2736	8792
356	2742	8781
357	2749	8769
358	2755	8756
359	2763	8750
360	2770	8740
361	2778	8735
362	2784	8722
363	2798	8734
364	2811	8742
365	2818	8733
366	2825	8723
367	2832	8714
368	2841	8709
369	2850	8705
370	2858	8697
371	2865	8687
372	2871	8677
373	2878	8667
374	2884	8652
375	2891	8644
376	2898	8633
377	2907	8628
378	2912	8615
379	2918	8600
380	2924	8590
381	2932	8581
382	2939	8572
383	2944	8558
384	2951	8546
385	2957	8535
386	2964	8524
387	2972	8518
388	2977	8504
389	2983	8492
390	2997	8501
391	3006	8497
392	3012	8485
393	3021	8482
394	3028	8471
395	3035	8463
396	3041	8451
397	3049	8444
398	3057	8435
399	3062	8422
400	3070	8415
401	3076	8402
402	3085	8398
403	3091	8387
404	3096	8372
405	3105	8367
406	3113	8360
407	3122	8357
408	3127	8342
409	3134	8332
410	3139	8319
411	3145	8306
412	3150	8292
413	3156	8281
414	3162	8268
415	3174	8273
416	3185	8272
417	3193	8267
418	3208	8277
419	3218	8277
420	3224	8264
421	3233	8259
422	3240	8250
423	3246	8237
424	3252	8225
425	3257	8211
426	3265	8205
427	3271	8194
428	3279	8187
429	3286	8177
430	3292	8165
431	3300	8160
432	3307	8150
433	3315	8143
434	3321	8131
435	3326	8117
436	3333	8107
437	3339	8097
438	3346	8088
439	3352	8076
440	3359	8066
441	3365	8055
442	3371	8044
