iter	Passed	Remaining
0	4	6735
1	9	7018
2	13	6964
3	19	7354
4	24	7392
5	32	8198
6	37	8086
7	46	8589
8	51	8610
9	57	8552
10	63	8647
11	73	9111
12	79	9055
13	84	8953
14	91	9009
15	96	8981
16	102	8963
17	109	9015
18	114	8926
19	119	8860
20	126	8936
21	131	8860
22	137	8859
23	144	8889
24	150	8902
25	159	9057
26	165	9018
27	170	8963
28	175	8918
29	181	8869
30	187	8885
31	192	8830
32	197	8788
33	205	8843
34	211	8839
35	216	8815
36	225	8934
37	233	8997
38	245	9202
39	254	9282
40	259	9232
41	265	9202
42	270	9178
43	275	9132
44	281	9117
45	289	9157
46	297	9184
47	304	9208
48	309	9164
49	314	9121
50	321	9127
51	326	9098
52	331	9052
53	338	9056
54	343	9033
55	349	9013
56	355	9008
57	362	9008
58	369	9017
59	373	8967
60	379	8955
61	386	8963
62	391	8924
63	401	9001
64	406	8979
65	412	8953
66	421	9022
67	430	9056
68	440	9129
69	447	9143
70	453	9131
71	459	9115
72	465	9104
73	470	9070
74	475	9042
75	483	9067
76	489	9039
77	494	9023
78	499	8988
79	505	8966
80	509	8929
81	517	8940
82	522	8927
83	528	8910
84	534	8894
85	540	8878
86	548	8902
87	553	8879
88	563	8938
89	569	8924
90	574	8896
91	580	8876
92	585	8864
93	595	8901
94	600	8877
95	606	8867
96	612	8861
97	618	8845
98	623	8823
99	630	8827
100	635	8808
101	642	8802
102	648	8789
103	653	8766
104	663	8810
105	669	8809
106	678	8833
107	683	8806
108	688	8784
109	695	8791
110	700	8763
111	706	8760
112	712	8748
113	718	8735
114	728	8773
115	739	8826
116	745	8809
117	751	8800
118	757	8795
119	763	8782
120	770	8776
121	776	8773
122	783	8766
123	789	8758
124	794	8734
125	798	8709
126	804	8697
127	809	8681
128	814	8660
129	820	8645
130	826	8632
131	832	8623
132	838	8616
133	844	8606
134	850	8598
135	858	8606
136	864	8605
137	872	8615
138	878	8600
139	885	8603
140	891	8593
141	897	8579
142	903	8576
143	909	8563
144	914	8546
145	920	8532
146	926	8531
147	934	8534
148	938	8510
149	942	8486
150	949	8484
151	955	8470
152	961	8464
153	968	8467
154	973	8447
155	979	8435
156	986	8436
157	994	8449
158	1001	8443
159	1006	8432
160	1011	8414
161	1016	8397
162	1022	8385
163	1027	8366
164	1032	8356
165	1036	8330
166	1041	8313
167	1047	8304
168	1052	8286
169	1061	8306
170	1067	8298
171	1074	8294
172	1079	8280
173	1084	8267
174	1089	8252
175	1095	8241
176	1100	8224
177	1105	8211
178	1110	8198
179	1116	8190
180	1122	8178
181	1128	8172
