iter	Passed	Remaining
0	4	6892
1	10	7820
2	15	7731
3	20	7597
4	26	7816
5	32	7978
6	37	7933
7	42	7920
8	48	8050
9	53	7948
10	59	8044
11	65	8100
12	70	8070
13	78	8377
14	85	8416
15	91	8442
16	100	8785
17	107	8844
18	112	8794
19	118	8778
20	125	8805
21	129	8706
22	134	8630
23	140	8666
24	146	8631
25	150	8544
26	157	8567
27	162	8533
28	166	8455
29	175	8587
30	183	8686
31	190	8759
32	196	8748
33	202	8737
34	207	8704
35	212	8641
36	217	8607
37	223	8614
38	231	8659
39	237	8660
40	242	8628
41	248	8624
42	255	8666
43	261	8648
44	266	8622
45	272	8603
46	278	8600
47	282	8552
48	290	8590
49	296	8586
50	301	8569
51	304	8492
52	309	8453
53	315	8450
54	320	8420
55	325	8382
56	329	8348
57	337	8385
58	342	8364
59	347	8340
60	356	8415
61	361	8393
62	367	8381
63	376	8439
64	383	8465
65	390	8474
66	395	8461
67	401	8464
68	407	8453
69	412	8418
70	419	8449
71	424	8428
72	432	8448
73	436	8420
74	442	8410
75	448	8404
76	453	8375
77	458	8360
78	464	8358
79	469	8334
80	475	8329
81	482	8350
82	489	8356
83	494	8337
84	500	8337
85	507	8338
86	513	8336
87	518	8315
88	523	8296
89	530	8313
90	535	8298
91	541	8287
92	548	8292
93	552	8271
94	559	8267
95	567	8292
96	571	8267
97	578	8275
98	587	8320
99	598	8377
100	604	8369
101	608	8343
102	614	8339
103	621	8338
104	627	8334
105	631	8308
106	636	8287
107	643	8287
108	648	8274
109	653	8256
110	658	8239
111	663	8225
112	668	8199
113	673	8193
114	679	8189
115	686	8192
116	692	8185
117	697	8173
118	703	8163
119	709	8153
120	714	8139
121	719	8126
122	726	8135
123	731	8121
124	737	8110
125	743	8110
126	749	8104
127	756	8105
128	761	8093
129	766	8076
130	772	8072
131	781	8098
132	789	8118
133	795	8109
134	800	8097
135	806	8092
136	811	8075
137	816	8055
138	821	8047
139	827	8041
140	833	8032
141	839	8027
142	843	8009
143	848	7988
144	855	7993
145	860	7978
146	866	7976
147	873	7978
148	878	7965
149	887	7986
150	892	7972
151	897	7955
152	903	7954
153	909	7947
154	915	7940
155	921	7939
156	927	7933
157	932	7916
158	937	7906
159	943	7899
160	950	7902
161	955	7889
162	960	7875
163	966	7872
164	973	7877
165	983	7900
166	989	7896
167	995	7892
168	1003	7903
169	1008	7893
170	1015	7894
171	1020	7881
172	1027	7880
173	1032	7872
174	1038	7863
175	1044	7858
176	1053	7873
177	1060	7879
178	1069	7890
179	1074	7882
180	1081	7882
181	1087	7873
182	1094	7874
183	1100	7874
184	1106	7864
185	1113	7863
186	1118	7850
187	1123	7842
188	1130	7841
189	1136	7833
190	1141	7820
191	1147	7816
192	1152	7801
193	1156	7787
194	1162	7778
195	1167	7769
196	1175	7773
197	1181	7767
198	1187	7761
199	1194	7763
200	1199	7749
201	1203	7734
202	1210	7731
203	1216	7727
204	1221	7718
205	1228	7714
206	1233	7701
207	1238	7693
208	1244	7687
209	1250	7680
210	1256	7674
211	1263	7675
212	1268	7662
213	1275	7665
214	1280	7655
215	1286	7649
216	1292	7644
217	1298	7633
218	1303	7622
219	1309	7620
220	1315	7614
221	1320	7604
222	1327	7603
223	1332	7592
224	1340	7593
225	1344	7581
226	1350	7573
227	1358	7577
228	1365	7576
229	1371	7575
230	1378	7572
231	1383	7562
232	1389	7553
233	1393	7539
234	1398	7529
235	1405	7526
236	1409	7513
237	1414	7501
238	1420	7497
239	1425	7483
240	1431	7476
241	1436	7468
242	1441	7458
243	1446	7445
244	1452	7441
245	1458	7435
246	1463	7422
247	1468	7414
248	1472	7400
249	1478	7392
250	1487	7401
251	1493	7396
252	1501	7398
253	1505	7387
254	1511	7381
255	1518	7377
256	1522	7364
257	1526	7350
258	1531	7338
259	1537	7334
260	1542	7322
261	1548	7319
262	1553	7308
263	1561	7311
264	1571	7324
265	1581	7336
266	1586	7328
267	1591	7316
268	1597	7310
269	1603	7304
270	1607	7292
271	1612	7281
272	1618	7275
273	1623	7264
274	1628	7252
275	1633	7245
276	1638	7236
277	1645	7231
278	1650	7223
279	1657	7221
280	1664	7222
281	1670	7214
282	1676	7208
283	1683	7207
284	1688	7200
285	1695	7195
286	1701	7189
287	1705	7178
288	1712	7176
289	1718	7169
290	1721	7153
291	1726	7141
292	1731	7131
293	1735	7119
294	1740	7110
295	1748	7111
296	1755	7108
297	1761	7103
298	1766	7096
299	1773	7093
300	1783	7102
301	1789	7099
302	1796	7096
303	1802	7090
304	1808	7084
305	1812	7073
306	1818	7066
307	1824	7062
308	1831	7060
309	1836	7050
310	1842	7043
311	1848	7038
312	1854	7032
313	1863	7037
314	1868	7028
315	1875	7026
316	1880	7015
317	1885	7007
318	1892	7006
319	1896	6994
320	1902	6989
321	1909	6987
322	1915	6978
323	1921	6975
324	1928	6970
325	1933	6962
326	1939	6956
327	1944	6949
328	1951	6944
329	1956	6938
330	1961	6928
331	1970	6932
332	1977	6931
333	1982	6922
334	1988	6916
335	1994	6911
336	1999	6898
337	2004	6891
338	2009	6882
339	2015	6874
340	2021	6870
341	2028	6869
342	2034	6861
343	2039	6854
344	2045	6847
345	2051	6843
346	2056	6833
347	2062	6827
348	2069	6823
349	2073	6814
350	2078	6803
351	2085	6800
352	2090	6792
353	2094	6782
354	2101	6778
355	2107	6771
356	2112	6762
357	2119	6759
358	2124	6751
359	2130	6745
360	2136	6739
361	2141	6731
362	2147	6727
363	2152	6717
364	2157	6709
365	2164	6706
366	2170	6701
367	2177	6698
368	2185	6698
369	2191	6693
370	2200	6696
371	2205	6688
372	2210	6678
373	2215	6670
374	2220	6661
375	2226	6656
376	2233	6653
377	2240	6649
378	2246	6643
379	2251	6636
380	2256	6627
381	2263	6624
382	2269	6617
383	2274	6610
384	2281	6607
385	2286	6598
386	2291	6591
387	2298	6587
388	2304	6580
389	2311	6577
390	2317	6571
391	2321	6562
392	2328	6559
393	2335	6555
394	2339	6545
395	2346	6542
396	2351	6532
397	2357	6528
398	2367	6532
399	2374	6530
400	2378	6519
401	2384	6511
402	2389	6503
403	2394	6494
404	2398	6484
405	2404	6477
406	2409	6471
407	2414	6463
408	2420	6455
409	2425	6448
410	2431	6442
411	2435	6431
412	2440	6424
413	2445	6414
414	2451	6408
415	2459	6409
416	2465	6403
417	2471	6397
418	2477	6392
419	2483	6386
420	2490	6382
421	2496	6378
422	2501	6369
423	2509	6368
424	2514	6361
425	2522	6359
426	2528	6353
427	2534	6347
428	2542	6347
429	2547	6338
430	2554	6334
431	2558	6325
432	2564	6318
433	2573	6321
434	2580	6317
435	2589	6318
436	2594	6311
437	2601	6307
438	2607	6301
439	2613	6295
440	2619	6291
441	2627	6288
442	2632	6281
443	2638	6275
444	2644	6269
445	2650	6264
446	2655	6256
447	2661	6249
448	2667	6243
449	2672	6236
450	2678	6231
451	2684	6224
452	2690	6217
453	2694	6208
454	2701	6204
455	2707	6198
456	2712	6190
457	2720	6189
458	2727	6184
459	2733	6179
460	2739	6173
461	2744	6166
