iter	Logloss
0	0.6848951189
1	0.6766264698
2	0.6695548952
3	0.6624346633
4	0.6558590004
5	0.6501042661
6	0.6453780033
7	0.6421839267
8	0.638997154
9	0.6337068043
10	0.6295699109
11	0.6245716286
12	0.6217964097
13	0.618482571
14	0.6156696867
15	0.6115019184
16	0.6080389708
17	0.6042530615
18	0.5990545698
19	0.5956461203
20	0.5938984406
21	0.5908769566
22	0.5883418113
23	0.5861493071
24	0.5827661754
25	0.5817759737
26	0.5798946947
27	0.5781560168
28	0.5756096758
29	0.5742053238
30	0.5720309083
31	0.5708275433
32	0.5685578013
33	0.5663121376
34	0.5637091805
35	0.5611805067
36	0.5597126119
37	0.5576269994
38	0.5564717444
39	0.554594257
40	0.5528719567
41	0.551991324
42	0.5508420229
43	0.5490690511
44	0.5482673709
45	0.5471771298
46	0.5460390062
47	0.5439079938
48	0.5428056341
49	0.5408346641
50	0.5393912446
51	0.5388616928
52	0.5373479755
53	0.5365420305
54	0.5363826816
55	0.5356560953
56	0.5348646807
57	0.5345804954
58	0.5335429754
59	0.5322863848
60	0.5316203362
61	0.5308170058
62	0.529276534
63	0.5284828536
64	0.5271392276
65	0.5264229635
66	0.526018391
67	0.5254024879
68	0.5246420046
69	0.5239936652
70	0.5232618136
71	0.522330521
72	0.5217780327
73	0.5212450285
74	0.5209546294
75	0.5206402587
76	0.519633784
77	0.5187556756
78	0.5182684526
79	0.5176245721
80	0.5173016
81	0.516880494
82	0.5167089516
83	0.5158865404
84	0.5148870536
85	0.514276929
86	0.5139438221
87	0.5130843788
88	0.5126169897
89	0.511895562
90	0.5111646852
91	0.5105650889
92	0.5100876123
93	0.509632909
94	0.5092808183
95	0.5089573003
96	0.5087357908
97	0.5085633489
98	0.5083809935
99	0.5081108079
100	0.5080942255
101	0.5080326746
102	0.5075437566
103	0.507403477
104	0.5070361863
105	0.5066610874
106	0.5064715749
107	0.5063354392
108	0.5061167284
109	0.5057526953
110	0.5055748629
111	0.5051463471
112	0.5049792909
113	0.5047834926
114	0.5042962705
115	0.5040740981
116	0.5037721177
117	0.5034187981
118	0.5032772975
119	0.5028200991
120	0.5025135572
121	0.5022277248
122	0.5019712007
123	0.5017832923
124	0.5014092941
125	0.5010079279
126	0.500888114
127	0.5003897121
128	0.4999745992
129	0.4997601299
130	0.4995397003
131	0.4991768718
132	0.498855686
133	0.4985971239
134	0.4984219594
135	0.4981143964
