iter	Logloss
0	0.6851094903
1	0.677533541
2	0.6698672768
3	0.666268287
4	0.6599060066
5	0.652136673
6	0.6461678391
7	0.6400718069
8	0.6350267054
9	0.6301440551
10	0.627523203
11	0.6235091142
12	0.6210826009
13	0.6168243451
14	0.6126207872
15	0.6087481395
16	0.6062842719
17	0.603054693
18	0.6011518465
19	0.5986045681
20	0.5962660931
21	0.5932028989
22	0.589919511
23	0.5874093894
24	0.584952675
25	0.5830854882
26	0.5814376113
27	0.5787199069
28	0.5767740541
29	0.5755462886
30	0.5735798274
31	0.5722794364
32	0.570681109
33	0.5684652557
34	0.566362339
35	0.5645712583
36	0.563600142
37	0.5625685099
38	0.5615406265
39	0.5606494263
40	0.5594884573
41	0.5584226956
42	0.5569010494
43	0.5559855254
44	0.5548114006
45	0.5537339439
46	0.552807109
47	0.5513570622
48	0.5504506285
49	0.5490529269
50	0.5477977653
51	0.5469027526
52	0.5453470996
53	0.5439937377
54	0.5428556377
55	0.5415624378
56	0.5410304497
57	0.5404939782
58	0.5397862968
59	0.5383634121
60	0.5373310714
61	0.5362999835
62	0.5354683247
63	0.5344427718
64	0.534254597
65	0.5333595062
66	0.5322876837
67	0.5311513194
68	0.5309009559
69	0.5303127273
70	0.5298651601
71	0.5296276497
72	0.5292758649
73	0.5285486778
74	0.527708564
75	0.5272561496
76	0.5264787229
77	0.5252127521
78	0.5248425115
79	0.5241128478
80	0.5238256832
81	0.5229640164
82	0.5225358035
83	0.5219463505
84	0.5216150716
85	0.5208108745
86	0.5201060479
87	0.5197926065
88	0.5190567472
89	0.5184602198
90	0.5180978746
91	0.5178507545
92	0.51753803
93	0.5168630975
94	0.5163752689
95	0.5157146797
96	0.5151429662
97	0.5148498076
98	0.5143813698
99	0.5139226218
100	0.5137226249
101	0.5132078719
102	0.5128222356
103	0.5122030931
104	0.5117289613
105	0.5116001691
106	0.5113421981
107	0.5110368987
108	0.5103717679
109	0.5101343081
110	0.5097529635
111	0.5091564264
112	0.5086251026
113	0.5082740257
114	0.507767071
115	0.5071169414
116	0.5068261035
117	0.5063328261
118	0.5061442539
119	0.5058093681
120	0.5055550523
121	0.5053199165
122	0.5048967292
123	0.5045182954
124	0.5041341632
125	0.5037065047
126	0.5032536458
127	0.5028129702
128	0.5024738802
129	0.501961961
130	0.5018703927
131	0.5016686991
132	0.5013863516
133	0.5011143286
134	0.5009943537
135	0.500673363
136	0.5004244574
137	0.5001776939
138	0.5000118771
139	0.4996367282
140	0.4993486177
141	0.4993061582
142	0.4992261201
143	0.4990397432
144	0.498726045
145	0.4984618798
146	0.4983344575
147	0.4981235606
148	0.4979626428
149	0.4977549546
150	0.4973209579
151	0.4971447978
152	0.4968798637
153	0.4967505786
154	0.4962944814
155	0.4961028294
156	0.4960496178
157	0.4957789364
158	0.4954503015
159	0.495344591
160	0.4949551443
161	0.4947069727
162	0.4944779057
163	0.4943555031
164	0.4942222087
165	0.4940467572
166	0.493954643
167	0.4938576692
168	0.4937362608
169	0.4934160897
170	0.4932829674
171	0.4929913047
172	0.4927842538
173	0.4925660111
174	0.4922882975
175	0.491878104
176	0.4917319851
177	0.4914187137
178	0.4912361112
179	0.4909854988
180	0.4907518488
181	0.4905009219
182	0.4904141979
183	0.4901988988
184	0.4899414375
185	0.4898016088
186	0.4895982041
187	0.4895604396
188	0.4894501535
189	0.4893282695
190	0.4890906855
191	0.4889528854
192	0.4886303363
193	0.4884607496
194	0.4882161208
195	0.4881523441
196	0.4879977411
197	0.4878257837
198	0.4877121641
199	0.4874843105
200	0.4873143605
201	0.4871605035
202	0.4869881064
203	0.4867221001
204	0.4865398635
205	0.4862861946
206	0.4861660316
207	0.4861487787
208	0.4859307865
209	0.4858281168
210	0.4855809153
211	0.4854126957
212	0.4852450382
213	0.4850688025
214	0.4849960872
215	0.484946398
216	0.4848491587
217	0.4847120632
218	0.4845896767
219	0.4844183842
220	0.4841886761
221	0.4840972926
222	0.4840328643
223	0.4839629115
224	0.48378169
225	0.483640363
226	0.4833652986
227	0.4832587888
228	0.4831931928
229	0.4830008221
230	0.4828763516
231	0.482658442
232	0.4826119567
233	0.4824828373
234	0.4824194117
235	0.4822839825
236	0.4821949525
237	0.4819913626
238	0.481910735
239	0.4818137263
240	0.4817779216
241	0.4816797669
242	0.4814776051
243	0.4813047677
244	0.4812604254
245	0.4811285086
246	0.4809621524
247	0.4808900915
248	0.4808242807
249	0.4806513605
250	0.4804481455
251	0.4803359724
252	0.4802489664
253	0.480087161
254	0.4799652427
255	0.4799258618
256	0.4797483848
257	0.4795614531
258	0.4794890963
259	0.4793302729
260	0.4791856824
261	0.4791082414
262	0.4790434122
263	0.4788215082
264	0.4787589295
265	0.4787070345
266	0.4786071455
267	0.4785585373
268	0.478422184
269	0.4783989007
270	0.4782336878
271	0.4782150144
272	0.4780608669
273	0.4779377074
274	0.4778080557
275	0.4777151571
276	0.4776414679
277	0.4775315018
278	0.4774213873
279	0.4773450002
280	0.4772448583
281	0.4771474892
282	0.4770682269
283	0.4769257731
284	0.4768363747
285	0.4767463507
286	0.4766449686
287	0.4765711616
288	0.4764067667
289	0.4763121622
290	0.4761974036
291	0.47606921
292	0.4759545369
293	0.4758918578
294	0.4756715886
295	0.475606165
296	0.4754833608
297	0.4753967388
298	0.4752590568
299	0.4751779434
300	0.4750885826
301	0.4749592343
302	0.4748239779
303	0.4747861951
304	0.4746611475
305	0.474576488
306	0.4744975318
307	0.4744440954
308	0.4743983746
309	0.4742916187
310	0.4742292916
311	0.4741238097
312	0.4740385444
313	0.4739587344
314	0.4738332618
315	0.4737288882
316	0.4736267497
317	0.4735392446
318	0.473464123
319	0.4733890213
320	0.4733000344
