iter	Passed	Remaining
416	2824	7336
417	2830	7327
418	2838	7324
419	2850	7330
420	2856	7320
421	2861	7310
422	2867	7301
423	2873	7292
424	2880	7285
425	2886	7277
426	2892	7267
427	2897	7257
428	2902	7245
429	2907	7235
430	2914	7228
431	2922	7224
432	2931	7224
433	2941	7225
434	2948	7219
435	2955	7211
436	2960	7201
437	2967	7194
438	2972	7184
439	2979	7178
440	2985	7170
441	2991	7160
442	2999	7156
443	3003	7144
444	3009	7134
445	3015	7125
446	3019	7113
447	3027	7109
448	3034	7104
449	3042	7099
450	3048	7090
451	3053	7079
452	3058	7068
453	3064	7060
454	3071	7055
455	3078	7048
456	3085	7041
457	3093	7037
458	3098	7026
459	3105	7021
460	3115	7021
461	3123	7017
462	3133	7018
463	3141	7013
464	3147	7005
465	3153	6998
466	3162	6996
467	3168	6987
468	3174	6979
469	3180	6969
470	3185	6958
471	3192	6953
472	3198	6944
473	3206	6939
474	3214	6936
475	3223	6935
476	3234	6936
477	3243	6935
478	3250	6927
479	3261	6931
480	3269	6926
481	3275	6918
482	3282	6912
483	3290	6907
484	3297	6901
485	3305	6897
486	3317	6899
487	3326	6899
488	3334	6894
489	3341	6887
490	3347	6878
491	3355	6874
492	3361	6866
493	3369	6862
494	3375	6853
495	3381	6844
496	3388	6838
497	3394	6829
498	3401	6824
499	3409	6819
500	3416	6813
501	3425	6809
502	3431	6801
503	3439	6796
504	3444	6787
505	3451	6780
506	3457	6771
507	3463	6763
508	3468	6753
509	3474	6743
510	3479	6734
511	3485	6725
512	3490	6716
513	3496	6706
514	3502	6699
515	3508	6690
516	3518	6689
517	3532	6697
518	3539	6689
519	3546	6683
520	3552	6675
521	3557	6664
522	3564	6658
523	3569	6647
524	3575	6640
525	3582	6633
526	3587	6623
527	3591	6612
528	3598	6604
529	3604	6597
530	3610	6588
531	3616	6580
532	3622	6571
533	3629	6565
534	3634	6556
535	3640	6546
536	3646	6539
537	3652	6530
538	3658	6522
539	3665	6515
540	3669	6505
541	3675	6495
542	3681	6488
543	3687	6479
544	3693	6471
545	3699	6463
546	3704	6454
547	3711	6448
548	3719	6442
549	3723	6432
550	3734	6432
551	3745	6431
552	3751	6423
553	3757	6415
554	3762	6406
555	3768	6398
556	3773	6388
557	3780	6381
558	3785	6372
559	3792	6365
560	3798	6358
561	3805	6351
562	3811	6343
563	3825	6349
564	3831	6341
565	3839	6335
566	3844	6326
567	3850	6318
568	3859	6314
569	3864	6304
570	3869	6296
571	3877	6291
572	3883	6282
573	3889	6275
574	3894	6265
575	3900	6257
576	3905	6248
577	3911	6239
578	3916	6230
579	3923	6222
580	3927	6212
581	3933	6205
582	3942	6200
583	3947	6190
584	3954	6185
585	3960	6177
586	3966	6170
587	3974	6164
588	3980	6156
589	3989	6153
590	3997	6148
591	4004	6141
592	4011	6136
