iter	Passed	Remaining
425	1939	4889
426	1943	4883
427	1947	4877
428	1951	4873
429	1957	4870
430	1961	4865
431	1965	4859
432	1970	4854
433	1974	4849
434	1979	4845
435	1982	4839
436	1987	4834
437	1991	4829
438	1996	4824
439	2001	4821
440	2005	4816
441	2009	4810
442	2013	4804
443	2018	4799
444	2022	4794
445	2026	4788
446	2030	4784
447	2036	4782
448	2040	4776
449	2045	4772
450	2050	4770
451	2055	4765
452	2059	4760
453	2064	4755
454	2068	4751
455	2073	4746
456	2077	4742
457	2082	4737
458	2087	4734
459	2091	4729
460	2095	4723
461	2100	4719
462	2104	4713
463	2108	4707
464	2112	4702
465	2117	4699
466	2122	4694
467	2126	4688
468	2131	4684
469	2135	4679
470	2139	4674
471	2144	4669
472	2148	4665
473	2153	4660
474	2157	4656
475	2162	4651
476	2167	4648
477	2171	4642
478	2176	4638
479	2181	4635
480	2185	4629
481	2189	4624
482	2193	4619
483	2198	4614
484	2203	4610
485	2207	4605
486	2213	4603
487	2218	4600
488	2223	4596
489	2227	4592
490	2233	4590
491	2239	4587
492	2243	4582
493	2249	4580
494	2253	4576
495	2258	4572
496	2263	4567
497	2267	4562
498	2272	4558
499	2277	4554
500	2281	4549
501	2286	4545
502	2291	4541
503	2296	4537
504	2300	4532
505	2304	4527
506	2308	4521
507	2313	4518
508	2317	4512
509	2322	4508
510	2327	4503
511	2331	4498
512	2335	4493
513	2340	4489
514	2345	4486
515	2350	4482
516	2354	4477
517	2360	4474
518	2364	4470
519	2369	4465
520	2373	4459
521	2378	4457
522	2383	4452
523	2388	4448
524	2392	4443
525	2397	4439
526	2402	4435
527	2406	4430
528	2411	4425
529	2415	4419
530	2418	4414
531	2423	4409
532	2428	4405
533	2433	4401
534	2437	4397
535	2443	4394
536	2447	4389
537	2451	4383
538	2456	4378
539	2461	4375
540	2465	4371
541	2470	4366
542	2475	4362
543	2479	4357
544	2484	4353
545	2488	4348
546	2492	4343
547	2497	4338
548	2501	4333
549	2506	4328
550	2511	4324
551	2515	4320
552	2520	4316
553	2525	4312
554	2529	4307
555	2534	4302
556	2539	4299
557	2543	4293
558	2547	4289
559	2552	4284
560	2558	4282
561	2563	4278
562	2568	4274
563	2574	4271
564	2578	4267
565	2583	4263
566	2588	4260
567	2593	4256
568	2599	4252
569	2604	4249
570	2609	4244
571	2613	4240
572	2619	4237
573	2625	4235
574	2630	4231
575	2634	4226
576	2640	4223
577	2646	4221
578	2652	4219
579	2657	4214
580	2662	4211
581	2667	4207
582	2672	4203
583	2677	4200
584	2682	4196
585	2688	4193
586	2694	4190
587	2699	4187
588	2705	4184
589	2710	4180
590	2715	4176
591	2720	4172
592	2724	4167
593	2728	4162
594	2733	4157
595	2738	4153
596	2743	4149
597	2749	4146
598	2754	4142
599	2760	4140
600	2766	4137
601	2771	4134
602	2777	4131
603	2782	4128
604	2787	4124
605	2792	4120
606	2798	4117
607	2804	4113
608	2808	4108
609	2814	4105
610	2819	4101
611	2824	4098
612	2828	4092
613	2834	4090
614	2840	4087
615	2845	4082
616	2851	4080
617	2856	4077
618	2861	4073
619	2867	4069
620	2872	4065
621	2878	4062
622	2883	4058
623	2888	4055
624	2893	4050
625	2899	4047
626	2903	4043
627	2908	4039
628	2914	4036
629	2920	4032
630	2924	4028
631	2930	4025
632	2935	4020
633	2941	4018
634	2946	4014
635	2951	4010
636	2957	4006
637	2963	4003
638	2969	4001
639	2973	3996
640	2978	3991
641	2983	3987
642	2988	3982
643	2992	3978
644	2997	3973
645	3001	3968
646	3006	3964
647	3011	3959
648	3016	3955
649	3021	3950
650	3025	3945
651	3030	3941
652	3034	3936
653	3040	3932
654	3045	3928
655	3050	3924
656	3054	3919
657	3059	3915
658	3063	3910
659	3068	3904
660	3072	3899
661	3077	3895
662	3081	3889
663	3085	3884
664	3089	3879
665	3094	3874
666	3098	3869
667	3102	3863
668	3106	3858
669	3111	3854
670	3115	3849
671	3119	3843
672	3123	3837
673	3128	3834
674	3133	3829
675	3137	3823
676	3142	3820
677	3146	3815
678	3152	3811
679	3156	3806
680	3161	3802
681	3166	3798
682	3172	3794
683	3178	3791
684	3183	3787
685	3187	3782
686	3193	3778
687	3197	3773
688	3202	3769
689	3207	3765
690	3212	3760
691	3216	3755
692	3221	3750
693	3225	3745
694	3229	3741
695	3234	3736
696	3240	3732
697	3245	3728
698	3249	3723
699	3254	3719
700	3258	3714
701	3262	3708
702	3266	3703
703	3271	3699
704	3276	3694
705	3280	3689
706	3285	3684
707	3290	3681
708	3296	3678
709	3301	3673
710	3306	3669
711	3311	3664
712	3317	3661
713	3322	3657
714	3328	3654
715	3334	3650
716	3340	3648
717	3345	3643
718	3350	3639
719	3356	3635
720	3361	3631
721	3366	3627
722	3372	3624
723	3377	3620
724	3382	3615
725	3386	3610
726	3392	3607
727	3397	3603
728	3403	3599
729	3408	3595
730	3413	3590
731	3418	3587
732	3423	3582
733	3428	3577
734	3434	3574
735	3439	3570
736	3443	3565
737	3447	3559
738	3454	3556
739	3458	3552
740	3463	3547
741	3469	3544
742	3474	3539
743	3479	3535
744	3484	3531
745	3489	3526
746	3494	3522
747	3499	3518
748	3504	3513
749	3508	3508
750	3512	3503
751	3517	3498
752	3522	3494
753	3526	3489
754	3532	3485
755	3536	3480
756	3540	3475
757	3545	3470
758	3550	3466
759	3555	3461
760	3560	3457
761	3565	3453
762	3570	3448
763	3574	3443
764	3579	3439
765	3584	3434
766	3588	3429
767	3593	3424
768	3598	3420
769	3602	3415
770	3606	3409
771	3610	3404
772	3614	3399
773	3619	3395
774	3624	3390
775	3628	3385
776	3632	3380
777	3637	3375
778	3641	3370
779	3646	3366
780	3651	3361
781	3655	3356
782	3660	3351
783	3665	3347
784	3670	3342
785	3675	3338
786	3680	3334
787	3685	3329
788	3689	3325
789	3694	3320
790	3699	3315
791	3704	3311
792	3708	3306
793	3713	3302
794	3717	3296
795	3722	3292
796	3727	3288
797	3732	3283
798	3736	3278
799	3740	3272
800	3745	3268
801	3749	3263
802	3753	3258
803	3757	3252
804	3762	3248
805	3766	3243
806	3771	3238
807	3776	3234
808	3780	3228
809	3784	3223
810	3787	3218
811	3793	3213
812	3797	3208
813	3801	3203
814	3805	3198
815	3809	3193
816	3814	3189
817	3818	3183
818	3822	3178
819	3827	3173
820	3831	3168
821	3836	3164
822	3840	3159
823	3844	3154
824	3849	3149
825	3853	3144
826	3858	3140
827	3863	3135
828	3867	3130
829	3871	3125
830	3875	3120
831	3879	3114
832	3884	3110
833	3889	3105
834	3893	3101
835	3897	3095
836	3901	3090
837	3906	3086
838	3911	3081
839	3916	3076
840	3919	3071
841	3925	3067
842	3929	3062
843	3933	3057
844	3939	3053
845	3943	3048
846	3948	3044
847	3952	3039
848	3957	3034
849	3962	3029
850	3966	3025
851	3972	3020
852	3976	3015
853	3980	3011
854	3986	3007
855	3990	3002
856	3995	2997
857	3998	2992
858	4003	2987
859	4008	2983
860	4013	2978
861	4019	2974
862	4024	2970
863	4028	2965
864	4033	2960
865	4038	2956
866	4044	2953
867	4049	2948
868	4055	2944
869	4060	2940
870	4064	2935
871	4070	2931
872	4075	2927
873	4080	2922
874	4085	2918
875	4090	2914
876	4095	2909
877	4100	2905
878	4105	2900
879	4110	2896
880	4117	2892
881	4122	2888
882	4127	2884
883	4133	2880
884	4138	2875
885	4142	2870
886	4147	2866
887	4152	2861
888	4156	2857
889	4161	2852
890	4166	2847
891	4170	2842
892	4175	2838
893	4180	2833
894	4185	2829
895	4190	2824
896	4194	2820
897	4200	2816
898	4205	2811
899	4210	2807
900	4215	2802
901	4219	2797
902	4223	2792
903	4228	2787
904	4233	2783
905	4238	2778
906	4242	2773
907	4246	2768
908	4251	2764
909	4255	2759
910	4260	2754
911	4266	2750
912	4271	2746
913	4276	2741
914	4280	2736
915	4285	2732
916	4290	2727
917	4296	2723
918	4302	2719
919	4307	2715
920	4313	2711
921	4318	2706
922	4323	2702
923	4328	2698
924	4332	2693
925	4337	2688
926	4342	2684
927	4346	2679
928	4351	2674
929	4356	2670
930	4361	2665
931	4367	2661
932	4372	2657
933	4378	2653
934	4383	2648
935	4388	2644
936	4393	2640
937	4398	2635
938	4404	2631
939	4408	2626
940	4413	2622
941	4419	2617
942	4423	2612
943	4429	2608
944	4433	2603
945	4437	2598
946	4442	2594
947	4448	2590
948	4452	2585
949	4457	2580
950	4462	2575
951	4466	2571
952	4471	2566
953	4476	2561
954	4480	2557
955	4485	2552
956	4490	2548
957	4494	2543
958	4498	2537
959	4502	2532
960	4507	2528
